destination,climate_zone,avg_temp_peak_season_c,peak_season_length_months,terrain_primary,coastal_access,unesco_sites_count,outdoor_activity_score,daily_cost_bucket,accommodation_range,visa_difficulty,english_prevalence,tourism_maturity,travel_style
"Hobart, Australia",Cfa,23,3,Urban,0,2,1,3,Mid-Luxury,1,3,Established,Family
"Serengeti, Tanzania",Aw,25,3,Urban,0,0,1,2,Full Range,2,1,Developing,Family
"New Orleans, USA",Cfa,28,3,Urban,0,0,1,3,Mid-Luxury,1,3,Established,Family
"Cuenca, Ecuador",Cfa,25,3,Urban,0,0,1,1,Hostel-Mid,2,1,Developing,Budget
"Bora Bora, French Polynesia",Cfa,30,4,Coastal,1,1,2,4,Mid-Luxury,2,1,Developing,Relaxation
"Istanbul, Turkey",Csa,26,3,Urban,0,1,1,3,Mid-Luxury,2,1,Developing,Family
"Medellin, Colombia",Cfa,27,4,Urban,0,1,1,1,Hostel-Mid,2,1,Developing,Budget
"Phnom Penh, Cambodia",Aw,33,3,Urban,0,0,1,2,Full Range,2,1,Developing,Family
"Montreal, Canada",Cfb,23,4,Urban,0,2,1,4,Mid-Luxury,1,3,Established,Luxury
"Vienna, Austria",Cfb,22,5,Urban,0,3,1,2,Full Range,2,1,Developing,Family
"Copenhagen, Denmark",Cfa,28,3,Urban,0,2,1,3,Mid-Luxury,2,3,Developing,Family
"Palermo, Italy",Csa,25,5,Urban,0,2,1,2,Full Range,1,2,Established,Family
"Buenos Aires, Argentina",Cfa,25,4,Urban,0,0,1,2,Full Range,2,1,Developing,Family
"Christchurch, New Zealand",Cfa,23,4,Urban,0,2,1,4,Mid-Luxury,1,3,Developing,Luxury
"Cape Town, South Africa",Cfa,27,3,Urban,1,2,2,3,Mid-Luxury,2,3,Developing,Family
"Frankfurt, Germany",Cfb,25,5,Urban,0,4,1,2,Full Range,1,3,Established,Family
"Zurich, Switzerland",Cfb,24,5,Urban,0,1,1,3,Mid-Luxury,2,1,Developing,Family
"Guadalajara, Mexico",Cfa,29,4,Urban,0,4,1,2,Full Range,2,2,Developing,Family
"Porto, Portugal",Csa,27,3,Urban,0,1,1,2,Full Range,2,2,Developing,Family
"Bordeaux, France",Cfa,27,4,Urban,0,4,1,2,Full Range,1,2,Established,Family
"Osaka, Japan",Cfa,25,5,Urban,0,4,1,3,Mid-Luxury,1,2,Established,Family
"Vancouver, Canada",Cfb,29,4,Urban,0,3,1,3,Mid-Luxury,1,3,Established,Family
"Yellowstone, USA",Cfa,26,3,Mountain,0,1,3,4,Mid-Luxury,1,3,Established,Luxury
"Valparaiso, Chile",Cfa,28,5,Urban,0,3,1,3,Mid-Luxury,2,1,Developing,Family
"Goa, India",Cfa,25,3,Coastal,1,6,2,2,Full Range,2,1,Developing,Culture
"Rio de Janeiro, Brazil",Cfa,23,3,Urban,1,0,2,2,Full Range,2,1,Developing,Family
"Stockholm, Sweden",Cfb,17,5,Urban,0,3,1,2,Full Range,2,3,Developing,Family
